"Category","City","Container","Continent","Country_Region","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_Priority","Postal_Code","Region","Ship_Date","Ship_Mode","State","Customer_ID","Discount","Number_of_Records","Order_ID","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Pens and Art Supplies","Buenos Aires","Small Pack","South America","Argentina","Joe Alexander","Corporate","Office Supplies","Boston 16765 Mini Stand Up Battery Pencil Sharpener","1/9/10","High","","International","1/11/10","Express Air","Province de Buenos Aires","832","0.00","1","8,576","43","59.00","263","541","9","12"
"Pens and Art Supplies","Gilroy","Small Pack","North America","United States of America","Gerald Love","Corporate","Office Supplies","Boston 16765 Mini Stand Up Battery Pencil Sharpener","1/9/10","High","95020","West","1/11/10","Express Air","California","833","0.00","1","89,770","11","59.00","204","139","9","12"
"Rubber Bands","Monterrey","Wrap Bag","North America","Mexico","Marlene Wood","Corporate","Office Supplies","Acco Hot Clips Clips to Go","1/9/10","Not Specified","","International","1/11/10","Regular Air","Nuevo Leo_n","3,387","7.00","1","58,343","39","40.00","5","122","1","3"
"Pens and Art Supplies","Augusta","Wrap Bag","North America","United States of America","Melanie Knight","Small Business","Office Supplies","Newell 339","1/9/10","Not Specified","4330","East","1/11/10","Regular Air","Maine","2,165","9.00","1","88,794","6","59.00","5","16","1","3"
"Pens and Art Supplies","Guiyang","Wrap Bag","Asia","China","Meredith Riley","Small Business","Office Supplies","Newell 339","1/9/10","Not Specified","","International","1/11/10","Regular Air","Guizhou Sheng","2,163","9.00","1","31,715","24","59.00","7","64","1","3"
"Pens and Art Supplies","Madison","Wrap Bag","North America","United States of America","Karl Knowles","Home Office","Office Supplies","12 Colored Short Pencils","1/9/10","Low","53711","Central","1/14/10","Regular Air","Wisconsin","2,555","10.00","1","86,527","12","58.00","88","30","2","3"
"Pens and Art Supplies","Moscow","Wrap Bag","Asia","Russian Federation","Catherine Powell","Home Office","Office Supplies","12 Colored Short Pencils","1/9/10","Low","","International","1/14/10","Regular Air","Moskva (city)","2,552","10.00","1","40,097","47","58.00","114","118","2","3"
"Telephones and Communication","King of Prussia","Small Box","North America","United States of America","Chris F Brandt","Corporate","Technology","M70","1/9/10","Low","19406","East","1/16/10","Regular Air","Pennsylvania","358","4.00","1","91,130","1","59.00","628","108","9","126"
"Telephones and Communication","Delhi","Small Box","Asia","India","Beth Buckley","Corporate","Technology","M70","1/9/10","Low","","International","1/16/10","Regular Air","National Capital Territory of Delhi","356","4.00","1","47,138","1","59.00","810","108","9","126"
"Bookcases","East Lansing","Jumbo Box","North America","United States of America","Sherri F Vogel","Consumer","Furniture","Hon Metal Bookcases, Putty","1/10/10","Critical","48823","Central","1/11/10","Delivery Truck","Michigan","1,976","5.00","1","89,039","8","56.00","851","552","47","71"
"Bookcases","Sao Paulo","Jumbo Box","South America","Brazil","Francis Ayers","Consumer","Furniture","Hon Metal Bookcases, Putty","1/10/10","Critical","","International","1/11/10","Delivery Truck","Sa_o Paulo","1,973","5.00","1","55,367","31","56.00","1,098","2,137","47","71"
"Paper","Taiyuan","Small Box","Asia","China","Robyn Stafford","Corporate","Office Supplies","Xerox 1996","1/10/10","Not Specified","","International","1/11/10","Regular Air","Shanxi Sheng","192","2.00","1","44,391","16","37.00","136","113","9","6"
"Paper","Lehi","Small Box","North America","United States of America","Tammy Goldman","Corporate","Office Supplies","Xerox 1996","1/10/10","Not Specified","84043","West","1/11/10","Regular Air","Utah","194","2.00","1","90,431","4","37.00","106","28","9","6"
"Pens and Art Supplies","Denton","Wrap Bag","North America","United States of America","Jennifer Siegel","Corporate","Office Supplies","Newell 337","1/10/10","Critical","76201","Central","1/11/10","Regular Air","Texas","896","6.00","1","90,166","5","56.00","67","17","4","3"
"Pens and Art Supplies","Washington","Wrap Bag","North America","United States of America","Gail Rankin Cole","Corporate","Office Supplies","Newell 337","1/10/10","Critical","20024","East","1/11/10","Regular Air","District of Columbia","894","6.00","1","14,596","19","56.00","86","63","4","3"
"Computer Peripherals","Pittsburgh","Small Pack","North America","United States of America","Cameron Kendall","Consumer","Technology","Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack","1/10/10","Medium","15122","East","1/11/10","Regular Air","Pennsylvania","2,797","0.00","1","87,552","8","79.00","159","44","5","5"
"Computer Peripherals","Seoul","Small Pack","Asia","Republic of Korea","Terri Bond","Consumer","Technology","Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack","1/10/10","Medium","","International","1/11/10","Regular Air","Soul","2,793","0.00","1","33,988","30","79.00","206","165","5","5"
"Computer Peripherals","Dublin","Small Pack","Europe","Ireland","Carla Starr","Corporate","Technology","Imation Neon 80 Minute CD-R Spindle, 50/Pack","1/10/10","High","","International","1/11/10","Regular Air","Dublin","1,388","2.00","1","28,999","34","45.00","168","1,178","2","34"
"Office Furnishings","Denton","Wrap Bag","North America","United States of America","Jennifer Siegel","Corporate","Furniture","Document Clip Frames","1/10/10","Critical","76201","Central","1/12/10","Regular Air","Texas","896","1.00","1","90,166","6","43.00","34","50","1","8"
"Office Furnishings","Washington","Wrap Bag","North America","United States of America","Gail Rankin Cole","Corporate","Furniture","Document Clip Frames","1/10/10","Critical","20024","East","1/12/10","Regular Air","District of Columbia","894","1.00","1","14,596","24","43.00","29","199","1","8"
"Storage and Organization","Guadalajara","Small Box","North America","Mexico","Teresa Hancock","Home Office","Office Supplies","Fellowes Super Stor/Drawer Files","1/10/10","Low","","International","1/12/10","Express Air","Jalisco","2,128","1.00","1","28,290","3","66.00","287","524","20","162"
"Pens and Art Supplies","East Lansing","Wrap Bag","North America","United States of America","Sherri F Vogel","Consumer","Office Supplies","Newell 309","1/10/10","Critical","48823","Central","1/12/10","Regular Air","Michigan","1,976","5.00","1","89,039","12","55.00","99","143","2","12"
"Pens and Art Supplies","Sao Paulo","Wrap Bag","South America","Brazil","Francis Ayers","Consumer","Office Supplies","Newell 309","1/10/10","Critical","","International","1/12/10","Regular Air","Sa_o Paulo","1,973","5.00","1","55,367","48","55.00","52","571","2","12"
"Computer Peripherals","Hazelwood","Small Box","North America","United States of America","Philip Hawkins","Home Office","Technology","Fellowes Internet Keyboard, Platinum","1/10/10","Low","63042","Central","1/14/10","Express Air","Missouri","2,132","5.00","1","90,078","11","74.00","191","334","9","30"
"Computer Peripherals","Guadalajara","Small Box","North America","Mexico","Teresa Hancock","Home Office","Technology","Fellowes Internet Keyboard, Platinum","1/10/10","Low","","International","1/14/10","Express Air","Jalisco","2,128","5.00","1","28,290","43","74.00","247","1,307","9","30"
"Office Furnishings","Cairo","Small Box","Africa","Egypt","Jay Fuller","Corporate","Furniture","Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black","1/10/10","Low","","International","1/15/10","Regular Air","Al Qahirah","2,344","2.00","1","20,037","35","42.00","136","1,009","9","29"
"Office Machines","Cairo","Jumbo Drum","Africa","Egypt","Jay Fuller","Corporate","Technology","Panasonic KX-P3200 Dot Matrix Printer","1/10/10","Low","","International","1/15/10","Delivery Truck","Al Qahirah","2,344","3.00","1","20,037","49","57.00","1,965","15,137","15","298"
"Office Machines","Pleasure Ridge Park","Jumbo Drum","North America","United States of America","Sylvia Kumar","Corporate","Technology","Panasonic KX-P3200 Dot Matrix Printer","1/10/10","Low","40258","South","1/15/10","Delivery Truck","Kentucky","2,346","3.00","1","89,503","12","57.00","49","3,707","15","298"
"Paper","Trenton","Small Box","North America","United States of America","Tony Doyle","Small Business","Office Supplies","Xerox 188","1/11/10","Not Specified","8601","East","1/11/10","Regular Air","New Jersey","470","3.00","1","88,060","5","36.00","23","60","5","11"
"Paper","Tel Aviv","Small Box","Asia","Israel","Lester Carver","Small Business","Office Supplies","Xerox 188","1/11/10","Not Specified","","International","1/11/10","Regular Air","Tel Aviv-Jaffa","462","3.00","1","33,797","18","36.00","12","217","5","11"
"Office Machines","Bellingham","Jumbo Drum","North America","United States of America","Marc Nash","Small Business","Technology","Panasonic KX-P3200 Dot Matrix Printer","1/11/10","Not Specified","2019","East","1/11/10","Delivery Truck","Massachusetts","466","8.00","1","88,060","5","57.00","497","1,133","15","298"
"Office Machines","Tel Aviv","Jumbo Drum","Asia","Israel","Lester Carver","Small Business","Technology","Panasonic KX-P3200 Dot Matrix Printer","1/11/10","Not Specified","","International","1/11/10","Delivery Truck","Tel Aviv-Jaffa","462","8.00","1","33,797","20","57.00","261","4,531","15","298"
"Office Furnishings","Beverly","Large Box","North America","United States of America","Maria Thomas","Small Business","Furniture","Tensor Hersey Kiss Styled Floor Lamp","1/11/10","Not Specified","1915","East","1/12/10","Regular Air","Massachusetts","467","2.00","1","88,060","11","73.00","557","144","14","13"
"Office Furnishings","Tel Aviv","Large Box","Asia","Israel","Lester Carver","Small Business","Furniture","Tensor Hersey Kiss Styled Floor Lamp","1/11/10","Not Specified","","International","1/12/10","Regular Air","Tel Aviv-Jaffa","462","2.00","1","33,797","44","73.00","718","575","14","13"
"Appliances","Hanson","Medium Box","North America","United States of America","Craig Bennett","Small Business","Office Supplies","Holmes Odor Grabber","1/11/10","Not Specified","2341","East","1/12/10","Regular Air","Massachusetts","468","6.00","1","88,060","5","52.00","28","73","7","14"
"Appliances","Tel Aviv","Medium Box","Asia","Israel","Lester Carver","Small Business","Office Supplies","Holmes Odor Grabber","1/11/10","Not Specified","","International","1/12/10","Regular Air","Tel Aviv-Jaffa","462","6.00","1","33,797","18","52.00","36","263","7","14"
"Office Furnishings","Hawthorne","Small Box","North America","United States of America","Marion Bowling","Small Business","Furniture","Eldon Image Series Black Desk Accessories","1/11/10","Not Specified","7506","East","1/13/10","Express Air","New Jersey","469","5.00","1","88,060","7","49.00","129","33","7","4"
"Office Furnishings","Tel Aviv","Small Box","Asia","Israel","Lester Carver","Small Business","Furniture","Eldon Image Series Black Desk Accessories","1/11/10","Not Specified","","International","1/13/10","Express Air","Tel Aviv-Jaffa","462","5.00","1","33,797","29","49.00","166","138","7","4"
"Office Machines","Shenzhen","Jumbo Box","Asia","China","Neal Davidson","Consumer","Technology","Okidata ML320 Series Turbo Dot Matrix Printers","1/11/10","Low","","International","1/18/10","Delivery Truck","Guangdong Sheng","165","8.00","1","21,830","19","56.00","363","6,992","12","400"
"Office Machines","Lebanon","Jumbo Box","North America","United States of America","Vicki Hauser","Consumer","Technology","Okidata ML320 Series Turbo Dot Matrix Printers","1/11/10","Low","37087","South","1/18/10","Delivery Truck","Tennessee","166","8.00","1","89,426","5","56.00","29","1,840","12","400"
"Storage and Organization","Suva","Small Box","Australasia","Fiji","Carl McLean","Corporate","Office Supplies","Fellowes Super Stor/Drawer","1/12/10","Not Specified","","International","1/13/10","Regular Air","Central","747","9.00","1","20,549","40","67.00","910","1,030","20","28"
"Storage and Organization","Florence","Small Box","North America","United States of America","Jordan Wilkinson","Corporate","Office Supplies","Fellowes Super Stor/Drawer","1/12/10","Not Specified","41042","South","1/13/10","Regular Air","Kentucky","750","9.00","1","91,200","10","67.00","225","258","20","28"
"Chairs and Chairmats","Moscow","Jumbo Drum","Asia","Russian Federation","Tammy Meyers","Home Office","Furniture","Global Leather Executive Chair","1/12/10","Low","","International","1/14/10","Delivery Truck","Moskva (city)","1,423","5.00","1","7,461","12","55.00","238","4,080","39","351"
"Chairs and Chairmats","Englewood","Jumbo Drum","North America","United States of America","Robyn Zhou","Home Office","Furniture","Global Leather Executive Chair","1/12/10","Low","80112","West","1/14/10","Delivery Truck","Colorado","1,424","5.00","1","89,448","3","55.00","451","1,020","39","351"
"Pens and Art Supplies","Gaithersburg","Wrap Bag","North America","United States of America","April Henson","Consumer","Office Supplies","Prang Dustless Chalk Sticks","1/12/10","Critical","20877","East","1/14/10","Regular Air","Maryland","2,776","4.00","1","91,228","8","35.00","2","14","1","2"
"Pens and Art Supplies","Sao Paulo","Wrap Bag","South America","Brazil","Harvey Upchurch","Consumer","Office Supplies","Prang Dustless Chalk Sticks","1/12/10","Critical","","International","1/14/10","Regular Air","Sa_o Paulo","2,774","4.00","1","43,362","33","35.00","1","58","1","2"
"Computer Peripherals","Ahmedabad","Small Box","Asia","India","Janet May","Consumer","Technology","Targus USB Numeric Keypad","1/12/10","Medium","","International","1/14/10","Regular Air","Gujarat","2,068","10.00","1","27,813","10","74.00","210","401","7","41"
"Computer Peripherals","Fort Thomas","Small Box","North America","United States of America","Elsie Boykin","Consumer","Technology","Targus USB Numeric Keypad","1/12/10","Medium","41075","South","1/14/10","Regular Air","Kentucky","2,069","10.00","1","88,554","3","74.00","67","120","7","41"
"Chairs and Chairmats","Gaithersburg","Jumbo Drum","North America","United States of America","April Henson","Consumer","Furniture","Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat","1/12/10","Critical","20877","East","1/15/10","Delivery Truck","Maryland","2,776","3.00","1","91,228","11","61.00","2,692","3,902","30","351"
